Coll,Int,Wea,CRASH_NUM1,TrWay,PSL,Align,TCD,CF
Angle,Four-Way Intersection,Clear,2016_10893,Two-Way Undivided,30 MPH,Straight,No Controls,Going Straight
Angle,Not an Intersection,Clear,2016_10907,Driveway Access,No Statutory Limit,Driveway Access,No Controls,Going Straight
Front-to-Front,T-Intersection,Cloudy,2016_10914,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
Front-to-Rear,Four-Way Intersection,Clear,2016_10918,Two-Way Undivided,35 MPH,Straight,Traffic control signal,Accelerating/Decelerating
Front-to-Rear,Four-Way Intersection,Clear,2016_10918,Two-Way Undivided,35 MPH,Straight,Traffic control signal,Others
Front-to-Front,Not an Intersection,Rain,2016_10920,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
Front-to-Front,Not an Intersection,Clear,2016_10938,Two-Way Undivided,40 MPH,Curve,No Controls,Negotiating a Curve
Angle,Not an Intersection,Clear,2016_10945,Two-Way Undivided,45 MPH,Curve,No Controls,Negotiating a Curve
Angle,Not an Intersection,Clear,2016_10945,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
Angle,Four-Way Intersection,Cloudy,2016_10958,Two-Way Undivided,25 MPH,Straight,Traffic control signal,Going Straight
Front-to-Front,Not an Intersection,Rain,2016_10974,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
Angle,T-Intersection,Clear,2016_10976,Two-Way Undivided,40 MPH,Straight,Traffic control signal,Turning
Angle,T-Intersection,Clear,2016_10980,Two-Way Undivided,25 MPH,Straight,Stop Sign,Turning
Front-to-Front,Not an Intersection,Clear,2016_10985,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
Front-to-Front,Not an Intersection,Clear,2016_10985,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
Angle,Four-Way Intersection,Cloudy,2016_20012,Two-Way Divided,35 MPH,Straight,Traffic control signal,Others
Angle,Four-Way Intersection,Cloudy,2016_20012,Two-Way Divided,35 MPH,Straight,Traffic control signal,Others
Angle,Four-Way Intersection,Cloudy,2016_20012,Two-Way Divided,35 MPH,Straight,Traffic control signal,Others
Front-to-Front,Not an Intersection,Clear,2016_20068,Two-Way Divided,45 MPH,Straight,No Controls,Going Straight
Angle,Not an Intersection,Clear,2016_20077,Two-Way Undivided,45 MPH,Curve,No Controls,Negotiating a Curve
Front-to-Rear,Not an Intersection,Clear,2016_40013,Two-Way Undivided,40 MPH,Straight,No Controls,Going Straight
Front-to-Rear,Not an Intersection,Clear,2016_40013,Two-Way Undivided,40 MPH,Straight,No Controls,Going Straight
Angle,Four-Way Intersection,Clear,2016_40028,Two-Way Divided,45 MPH,Straight,Traffic control signal,Going Straight
Angle,Four-Way Intersection,Clear,2016_40028,Two-Way Divided,45 MPH,Straight,Traffic control signal,Turning
Sideswipe,T-Intersection,Clear,2016_40033,Two-Way Divided,40 MPH,Straight,Traffic control signal,Turning
Sideswipe,Not an Intersection,Clear,2016_40040,Two-Way Undivided,35 MPH,Straight,No Controls,Going Straight
Front-to-Front,Four-Way Intersection,Clear,2016_40041,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
Angle,Four-Way Intersection,Clear,2016_40046,Two-Way Undivided,35 MPH,Straight,Stop Sign,Going Straight
Angle,T-Intersection,Clear,2016_40053,Driveway Access,No Statutory Limit,Driveway Access,No Controls,Turning
Front-to-Rear,Four-Way Intersection,Clear,2016_40055,Two-Way Divided,40 MPH,Straight,Traffic control signal,Going Straight
Front-to-Front,Not an Intersection,Clear,2016_40065,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
Front-to-Front,Not an Intersection,Clear,2016_40065,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
Angle,Not an Intersection,Clear,2016_40075,Two-Way Undivided,45 MPH,Curve,No Controls,Negotiating a Curve
Angle,Four-Way Intersection,Clear,2016_40080,Two-Way Divided,45 MPH,Straight,Traffic control signal,Going Straight
Front-to-Front,Four-Way Intersection,Clear,2016_40089,Two-Way Undivided,45 MPH,Straight,Traffic control signal,Going Straight
Front-to-Front,Not an Intersection,Clear,2016_40100,Two-Way Divided,45 MPH,Straight,No Controls,Going Straight
Angle,Four-Way Intersection,Clear,2016_40112,Two-Way Divided,40 MPH,Straight,Traffic control signal,Turning
Angle,Four-Way Intersection,Clear,2016_40124,Two-Way Divided,45 MPH,Straight,Traffic control signal,Turning
Angle,Four-Way Intersection,Clear,2016_40124,Two-Way Divided,45 MPH,Straight,Traffic control signal,Going Straight
Angle,Four-Way Intersection,Clear,2016_40129,Two-Way Undivided,35 MPH,Straight,Traffic control signal,Going Straight
Angle,Four-Way Intersection,Clear,2016_40129,Two-Way Undivided,45 MPH,Straight,Traffic control signal,Others
Angle,Four-Way Intersection,Clear,2016_40135,Two-Way Undivided,40 MPH,Straight,Traffic control signal,Turning
Front-to-Rear,Not an Intersection,Clear,2016_40139,Two-Way Divided,45 MPH,Straight,No Controls,Going Straight
Front-to-Front,Not an Intersection,Clear,2016_40145,Two-Way Undivided,40 MPH,Straight,No Controls,Unknown
Angle,T-Intersection,Cloudy,2016_40178,Two-Way Divided,40 MPH,Straight,No Controls,Going Straight
Angle,T-Intersection,Cloudy,2016_40178,Two-Way Undivided,25 MPH,Straight,Stop Sign,Turning
Angle,Four-Way Intersection,Clear,2016_40200,Two-Way Undivided,45 MPH,Straight,Traffic control signal,Going Straight
Angle,T-Intersection,Clear,2016_40208,Two-Way Undivided,25 MPH,Straight,Stop Sign,Going Straight
Angle,T-Intersection,Clear,2016_40210,Two-Way Divided,45 MPH,Straight,Traffic control signal,Turning
Angle,Not an Intersection,Clear,2016_40236,Two-Way Undivided,35 MPH,Curve,No Controls,Negotiating a Curve
Angle,Four-Way Intersection,Clear,2016_40241,Two-Way Divided,25 MPH,Straight,Stop Sign,Turning
Angle,Four-Way Intersection,Clear,2016_40258,Two-Way Divided,30 MPH,Straight,Traffic control signal,Turning
Front-to-Rear,T-Intersection,Clear,2016_40268,Two-Way Undivided,30 MPH,Straight,No Controls,Going Straight
Front-to-Rear,T-Intersection,Clear,2016_40268,Two-Way Undivided,30 MPH,Straight,No Controls,Turning
Angle,T-Intersection,Cloudy,2016_40269,Two-Way Undivided,40 MPH,Straight,No Controls,Turning
Others,Not an Intersection,Clear,2016_40272,Two-Way Undivided,45 MPH,Straight,No Controls,Turning
Angle,T-Intersection,Clear,2016_40302,Driveway Access,No Statutory Limit,Driveway Access,No Controls,Going Straight
Angle,T-Intersection,Clear,2016_40302,Two-Way Undivided,35 MPH,Straight,No Controls,Going Straight
Angle,T-Intersection,Clear,2016_40302,Two-Way Undivided,35 MPH,Straight,No Controls,Going Straight
Angle,Four-Way Intersection,Clear,2016_40303,Two-Way Divided,45 MPH,Straight,Traffic control signal,Turning
Angle,Four-Way Intersection,Clear,2016_40324,Two-Way Undivided,45 MPH,Straight,Traffic control signal,Turning
Angle,Four-Way Intersection,Clear,2016_40340,Two-Way Undivided,40 MPH,Straight,Traffic control signal,Going Straight
Angle,Four-Way Intersection,Clear,2016_40340,Two-Way Undivided,40 MPH,Straight,Traffic control signal,Accelerating/Decelerating
Angle,Four-Way Intersection,Clear,2016_40346,Two-Way Undivided,40 MPH,Straight,Traffic control signal,Going Straight
Angle,Four-Way Intersection,Clear,2016_40346,Two-Way Undivided,40 MPH,Straight,Traffic control signal,Others
Sideswipe,Not an Intersection,Clear,2016_40354,Two-Way Undivided,40 MPH,Straight,No Controls,Going Straight
Angle,T-Intersection,Clear,2016_40367,Two-Way Divided,35 MPH,Straight,Traffic control signal,Turning
Angle,T-Intersection,Clear,2016_40367,Two-Way Divided,35 MPH,Curve,Traffic control signal,Negotiating a Curve
Angle,T-Intersection,Clear,2016_40367,Driveway Access,No Statutory Limit,Driveway Access,Traffic control signal,Others
Others,Four-Way Intersection,Clear,2016_40370,Two-Way Divided,35 MPH,Straight,Traffic control signal,Turning
Front-to-Rear,Four-Way Intersection,Cloudy,2016_40379,Two-Way Divided,40 MPH,Straight,Traffic control signal,Going Straight
Angle,Not an Intersection,Clear,2016_40384,Two-Way Undivided,40 MPH,Straight,No Controls,Turning
Angle,Four-Way Intersection,Clear,2016_40398,Two-Way Undivided,35 MPH,Straight,No Controls,Going Straight
Angle,Not an Intersection,Clear,2016_40400,Two-Way Undivided,40 MPH,Straight,No Controls,Turning
Front-to-Front,Not an Intersection,Clear,2016_40401,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
Angle,Four-Way Intersection,Clear,2016_40407,Two-Way Undivided,45 MPH,Straight,Traffic control signal,Others
Sideswipe,Four-Way Intersection,Clear,2016_40415,Two-Way Undivided,40 MPH,Straight,Traffic control signal,Others
Sideswipe,Four-Way Intersection,Clear,2016_40415,Two-Way Undivided,40 MPH,Straight,Traffic control signal,Accelerating/Decelerating
Angle,Not an Intersection,Clear,2016_40419,Two-Way Divided,40 MPH,Straight,No Controls,Going Straight
Angle,Four-Way Intersection,Clear,2016_40423,Two-Way Undivided,25 MPH,Straight,Stop Sign,Going Straight
Angle,Four-Way Intersection,Clear,2016_40424,Two-Way Undivided,45 MPH,Straight,Traffic control signal,Going Straight
Front-to-Front,Four-Way Intersection,Clear,2016_40427,Two-Way Undivided,40 MPH,Straight,No Controls,Going Straight
Angle,Four-Way Intersection,Clear,2016_40439,Two-Way Divided,45 MPH,Straight,Traffic control signal,Going Straight
Angle,Four-Way Intersection,Clear,2016_40439,Two-Way Undivided,45 MPH,Straight,Traffic control signal,Going Straight
Angle,T-Intersection,Clear,2016_40440,Two-Way Divided,40 MPH,Straight,No Controls,Making a U-turn
Angle,Four-Way Intersection,Clear,2016_40444,Two-Way Divided,45 MPH,Straight,Traffic control signal,Going Straight
Front-to-Front,Not an Intersection,Cloudy,2016_40460,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
Others,Four-Way Intersection,Clear,2016_40466,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
Angle,Four-Way Intersection,Clear,2016_40470,Two-Way Divided,35 MPH,Straight,Traffic control signal,Going Straight
Angle,Four-Way Intersection,Clear,2016_40470,Two-Way Divided,45 MPH,Straight,Traffic control signal,Going Straight
Front-to-Rear,Four-Way Intersection,Cloudy,2016_40485,Two-Way Undivided,45 MPH,Straight,Stop Sign,Accelerating/Decelerating
Angle,Four-Way Intersection,Clear,2016_40490,Two-Way Divided,45 MPH,Straight,Traffic control signal,Going Straight
Angle,Four-Way Intersection,Clear,2016_40490,One-Way Trafficway,45 MPH,Straight,Traffic control signal,Going Straight
Angle,Not an Intersection,Clear,2016_40493,Two-Way Undivided,35 MPH,Straight,No Controls,Going Straight
Angle,Four-Way Intersection,Clear,2016_40496,Two-Way Divided,45 MPH,Straight,Traffic control signal,Going Straight
Angle,Four-Way Intersection,Clear,2016_40496,Two-Way Undivided,25 MPH,Straight,Traffic control signal,Going Straight
Angle,Four-Way Intersection,Cloudy,2016_40510,Two-Way Undivided,40 MPH,Straight,Traffic control signal,Going Straight
Front-to-Rear,Four-Way Intersection,Clear,2016_40515,Two-Way Undivided,45 MPH,Straight,Traffic control signal,Going Straight
Front-to-Rear,Four-Way Intersection,Clear,2016_40515,Two-Way Undivided,45 MPH,Straight,Traffic control signal,Accelerating/Decelerating
Angle,Four-Way Intersection,Clear,2016_40519,Two-Way Undivided,40 MPH,Straight,No Controls,Going Straight
Front-to-Rear,Not an Intersection,Clear,2016_40520,Two-Way Divided,45 MPH,Straight,No Controls,Going Straight
Others,Four-Way Intersection,Clear,2016_40535,Two-Way Divided,45 MPH,Straight,Traffic control signal,Turning
Front-to-Rear,Not an Intersection,Clear,2016_40547,Two-Way Divided,45 MPH,Curve,No Controls,Negotiating a Curve
Angle,Four-Way Intersection,Clear,2016_40561,Two-Way Undivided,45 MPH,Straight,Traffic control signal,Going Straight
Angle,Four-Way Intersection,Clear,2016_40562,Two-Way Undivided,45 MPH,Straight,Traffic control signal,Going Straight
Angle,Four-Way Intersection,Clear,2016_40562,Two-Way Undivided,45 MPH,Straight,Traffic control signal,Others
Angle,Four-Way Intersection,Clear,2016_40562,Two-Way Undivided,45 MPH,Straight,Traffic control signal,Others
Sideswipe,Four-Way Intersection,Clear,2016_40563,Two-Way Undivided,40 MPH,Straight,Traffic control signal,Going Straight
Sideswipe,Four-Way Intersection,Clear,2016_40563,Two-Way Undivided,35 MPH,Straight,Traffic control signal,Going Straight
Angle,Four-Way Intersection,Clear,2016_40567,Two-Way Divided,45 MPH,Straight,Traffic control signal,Turning
Angle,Four-Way Intersection,Cloudy,2016_40572,Two-Way Undivided,45 MPH,Straight,Traffic control signal,Turning
Sideswipe,T-Intersection,Clear,2016_40578,Two-Way Undivided,45 MPH,Curve,No Controls,Negotiating a Curve
Sideswipe,T-Intersection,Clear,2016_40578,Two-Way Undivided,45 MPH,Curve,No Controls,Negotiating a Curve
Front-to-Rear,Not an Intersection,Rain,2016_40589,Two-Way Undivided,35 MPH,Straight,No Controls,Going Straight
Angle,Four-Way Intersection,Clear,2016_40601,One-Way Trafficway,35 MPH,Straight,Traffic control signal,Turning
Front-to-Rear,Not an Intersection,Clear,2016_40612,Two-Way Divided,45 MPH,Straight,No Controls,Changing Lanes/Overtaking
Angle,Four-Way Intersection,Clear,2016_40616,Two-Way Divided,40 MPH,Straight,Traffic control signal,Going Straight
Angle,Four-Way Intersection,Clear,2016_40617,Two-Way Undivided,35 MPH,Straight,Traffic control signal,Going Straight
Angle,Four-Way Intersection,Clear,2016_40624,Two-Way Undivided,40 MPH,Straight,Traffic control signal,Turning
Angle,Four-Way Intersection,Clear,2016_40624,Two-Way Undivided,40 MPH,Straight,Traffic control signal,Others
Angle,Four-Way Intersection,Clear,2016_40634,Two-Way Divided,40 MPH,Straight,Traffic control signal,Going Straight
Sideswipe,Four-Way Intersection,Clear,2016_40636,Two-Way Divided,45 MPH,Straight,Traffic control signal,Changing Lanes/Overtaking
Sideswipe,Four-Way Intersection,Clear,2016_40636,Two-Way Divided,45 MPH,Straight,Traffic control signal,Going Straight
Front-to-Front,Not an Intersection,Clear,2016_40649,Two-Way Undivided,40 MPH,Straight,No Controls,Going Straight
Front-to-Front,Not an Intersection,Clear,2016_40649,Two-Way Undivided,40 MPH,Straight,No Controls,Going Straight
Angle,Four-Way Intersection,Cloudy,2016_40650,Two-Way Divided,40 MPH,Straight,Traffic control signal,Going Straight
Others,Four-Way Intersection,Clear,2016_40653,Two-Way Undivided,40 MPH,Straight,Traffic control signal,Turning
Angle,Four-Way Intersection,Clear,2016_40657,Two-Way Undivided,40 MPH,Straight,No Controls,Turning
Front-to-Rear,Not an Intersection,Clear,2016_40660,Two-Way Divided,45 MPH,Straight,No Controls,Going Straight
Front-to-Front,T-Intersection,Clear,2016_40663,Two-Way Undivided,35 MPH,Straight,No Controls,Going Straight
Front-to-Front,Not an Intersection,Clear,2016_40671,Two-Way Undivided,45 MPH,Straight,No Controls,Changing Lanes/Overtaking
Angle,T-Intersection,Clear,2016_40674,Two-Way Undivided,35 MPH,Straight,Stop Sign,Unknown
Front-to-Front,Not an Intersection,Clear,2016_40682,Two-Way Undivided,40 MPH,Straight,No Controls,Going Straight
Front-to-Front,Not an Intersection,Clear,2016_40682,Two-Way Undivided,40 MPH,Straight,No Controls,Going Straight
Angle,Four-Way Intersection,Rain,2016_40683,Two-Way Undivided,45 MPH,Straight,Traffic control signal,Others
Front-to-Rear,Not an Intersection,Clear,2016_40684,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
Sideswipe,T-Intersection,Clear,2016_40688,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
Angle,Four-Way Intersection,Clear,2016_40693,Two-Way Divided,45 MPH,Straight,No Controls,Turning
Angle,Four-Way Intersection,Clear,2016_40696,Two-Way Undivided,25 MPH,Straight,Traffic control signal,Going Straight
Front-to-Rear,Not an Intersection,Clear,2016_40697,Two-Way Divided,45 MPH,Straight,No Controls,Accelerating/Decelerating
Front-to-Front,Not an Intersection,Clear,2016_40699,Two-Way Undivided,35 MPH,Straight,No Controls,Going Straight
Angle,Four-Way Intersection,Clear,2016_40703,Two-Way Divided,40 MPH,Straight,Traffic control signal,Turning
Angle,Four-Way Intersection,Clear,2016_40713,Two-Way Divided,45 MPH,Straight,Traffic control signal,Turning
Angle,Four-Way Intersection,Clear,2016_40718,Two-Way Undivided,25 MPH,Straight,Stop Sign,Turning
Front-to-Rear,T-Intersection,Cloudy,2016_40731,Two-Way Undivided,45 MPH,Straight,Traffic control signal,Going Straight
Front-to-Rear,T-Intersection,Cloudy,2016_40731,Two-Way Undivided,45 MPH,Straight,Traffic control signal,Others
Angle,Four-Way Intersection,Clear,2016_40742,Two-Way Undivided,40 MPH,Straight,No Controls,Going Straight
Front-to-Front,"Five Point, or More",Clear,2016_40745,One-Way Trafficway,40 MPH,Curve,Traffic control signal,Turning
Front-to-Front,"Five Point, or More",Clear,2016_40745,Two-Way Divided,40 MPH,Straight,Traffic control signal,Others
Front-to-Front,"Five Point, or More",Clear,2016_40745,Two-Way Divided,40 MPH,Straight,Traffic control signal,Others
Sideswipe,Not an Intersection,Clear,2016_40750,Two-Way Undivided,35 MPH,Straight,No Controls,Going Straight
Angle,Four-Way Intersection,Clear,2016_40756,Two-Way Undivided,40 MPH,Straight,Traffic control signal,Going Straight
Angle,Not an Intersection,Clear,2016_40762,Driveway Access,No Statutory Limit,Driveway Access,Stop Sign,Going Straight
Sideswipe,Not an Intersection,Clear,2016_40763,Two-Way Divided,45 MPH,Curve,No Controls,Negotiating a Curve
Sideswipe,Not an Intersection,Clear,2016_40783,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
Front-to-Rear,Not an Intersection,Clear,2016_40784,Two-Way Undivided,35 MPH,Straight,No Controls,Accelerating/Decelerating
Front-to-Rear,Not an Intersection,Clear,2016_40794,Two-Way Divided,40 MPH,Straight,No Controls,Going Straight
Angle,Four-Way Intersection,Clear,2016_40797,Two-Way Undivided,45 MPH,Straight,Traffic control signal,Turning
Front-to-Front,Not an Intersection,Clear,2016_40808,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
Angle,Not an Intersection,Clear,2016_40814,Two-Way Undivided,45 MPH,Straight,No Controls,Turning
Angle,Four-Way Intersection,Cloudy,2016_40831,Two-Way Undivided,45 MPH,Straight,Traffic control signal,Turning
Angle,Not an Intersection,Cloudy,2016_40834,Two-Way Undivided,40 MPH,Straight,Traffic control signal,Turning
Front-to-Rear,Not an Intersection,Clear,2016_40846,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
Angle,Four-Way Intersection,Clear,2016_40855,Two-Way Undivided,45 MPH,Straight,Traffic control signal,Going Straight
Others,Not an Intersection,Cloudy,2016_40861,Two-Way Undivided,40 MPH,Straight,No Controls,Turning
Angle,Not an Intersection,Clear,2016_40865,Two-Way Undivided,40 MPH,Straight,No Controls,Turning
Angle,T-Intersection,Clear,2016_40870,Two-Way Undivided,35 MPH,Straight,Traffic control signal,Turning
Angle,Four-Way Intersection,Clear,2016_40877,Two-Way Undivided,25 MPH,Straight,Traffic control signal,Turning
Angle,T-Intersection,Cloudy,2016_50014,Two-Way Undivided,40 MPH,Straight,No Controls,Going Straight
Angle,Not an Intersection,Clear,2016_50021,Two-Way Undivided,45 MPH,Curve,No Controls,Negotiating a Curve
Angle,Not an Intersection,Clear,2016_50021,Two-Way Undivided,45 MPH,Curve,No Controls,Negotiating a Curve
